products_id,products_and_services,clustered_id
d8ae71f3a981471bc7fca0db29da5beb95117e4e,public works contractors,d8ae71f3a981471bc7fca0db29da5beb95117e4e
2ddc66f214c2366c39b48dfd8d435b43492200c3,car hire with driver,aae5cdfa0cee797dfac859b23e3ebf112a557aba
fdda0c46f953c1a45bdc520849be1e4edf4e228c,driver,fdda0c46f953c1a45bdc520849be1e4edf4e228c
3df0815c1a5ec9b7b1c470438c0cbd4f460faf92,chauffeured coaches,3df0815c1a5ec9b7b1c470438c0cbd4f460faf92
48d6a763b3559113b8f2e2dddc242dbc3463b154,garages and service stations - equipment and installations,0ef675a4c20882ccedb1d6e755a34b41aa322348
e1952705cc0e6ec262d611301793720f7bfe5669,cars,9e32521dd2f8b27b64fe869fdadfa53e7d976f56
266336a7f1b2ce23ad20d60aea4c7b7af630fb7f,automobiles,e37e19ee167ea3f3ec4626cb76c79526f1b0d53e
e50c956956da86b990649e4e7b6d5b2572cbf248,"lorries, vans and commercial vehicles",401fc015825d6bf8bb85b0ae1af3cb3e21e64c9c
deadeaf481ae292a15dea19fc81084f53e8b07ab,"vehicles, used",0b0591061c39a45540c7e3e5ebf1cbe4bc15a295
064acf57ef8c9c6e986e211626977856575a9110,ceilings,064acf57ef8c9c6e986e211626977856575a9110
88e540248db56eafbbf7edf80dba2b83217e2644,concrete constructions,88e540248db56eafbbf7edf80dba2b83217e2644
614adafe94e6e954ec0d7839e81368e0f892a6b0,"buildings, prefabricated",614adafe94e6e954ec0d7839e81368e0f892a6b0
0539a2ca029a8b456ec557d1400c14effc9783fc,liquors and spirits,2bdf3ecbc5f92c34088d5bdbf8474011b603ca42
dc8c1af4aab70ac0532a4d4f6810da59793c35b6,electricity - production and distribution,3894e2077240259636513492fd9fa9178dbc97b2
d4b5c529cd6c9e1ef5fa12a732d3ccc4c3e459df,agriculture and forestry - machinery and equipment,ff86157dc6629ff1e12332bc3d90fcb28ea3e47a
