products_and_services,products_id
diesel d6 virgin fuel oil,eee922a6-7725-4e8b-b2f4-f39996e7f4de
diesel gas oil d2,6d8ab4b0-9ddc-4ae6-9b93-071947eaddee
automotive gas oil,6a63a050-67dd-4d99-8b28-64e74d63f4bb
chemical products for petroleum refining,3baf4908-b814-4eb6-8103-922ba61f11af
geographic publications,3ebcf421-24ce-4af8-b12d-69dc77a59bcf
bottled gas storage rack cupboards,7f86be2a-bcbd-46b3-a08e-8504264135cd
exhaust filter,69b6ac95-96f6-412e-9937-e9813d50e491
fire smoke extraction systems,9a14ab00-f237-4682-844f-27750831985b
refilling and testing gas cylinders,5990411f-9700-4cb9-b43c-62ae56254403
catalysts for petroleum refining,dad108bf-ab74-477a-8939-700e4e79bca3
petroleum storage tank,1ad70b2c-4046-4316-9a02-9a352ae9145d
refrigerated tanks for goods storage,125857f0-39e9-4e1f-a42d-b22fa18c7773
fragnaces,79e6f733-12e7-4d4a-a098-757e8adb57c9
human resource optimisation,cf11bb6c-0831-4014-a3c9-e09c2968499f
offshore works,eabec1fd-98dd-4eb3-a709-cd67321a3514
data entry,e88ada13-01a0-4563-850c-2deacd525f5b
custom software development,9bb68e0e-e2d8-440d-b451-f40604ca7689
wire rope winches,9d42afd9-13f6-42a5-b1a8-7a86540beb2f
air conditioners for industrial use,894d19fe-7da4-4566-b548-47818ddc211b
air conditioning systems for cranes and heavy vehicles,ef4b8472-7741-44d1-a58e-8c33f89f4747
ex-proof air conditioning and cooling systems,6fbe192e-3f17-427e-897c-bbc050cb174a
watermakes,2ad4a079-cbb0-4f45-945b-d617f64f6323
ship windows,766fa9f8-dc01-48a4-bd20-ae8e28596d1d
ship doors,0f0e8a4e-848e-42ba-8232-0837f9ecae56
3d simulation,7463965a-86b4-4ae5-a2ef-8c64674367e5
flammable liquid storage,2f0f9e5b-c1ce-42f1-a95c-6a5b6e526b13
industrial joysticks,79cc3bd8-20fc-4390-8d6d-20b01ba1c570
industrial controllers,76afa963-6fd1-4043-8edb-d6548cd1a94d
potentiometers,3593e500-550c-4f2b-a196-10689335c8a8
sales strategy consultancy,b463997e-d5e0-4886-ade4-25489760a41a
solar water heaters,d6ada02e-b5b2-419c-8dde-afdfd459786a
solar panels for boats,f8a3ca4a-120d-4f72-a2c8-2e057a3c1c1c
solar garden light,02227247-6739-477f-8dee-34e86cf21caf
scientific instruments,ea11a305-fb92-40ba-953e-670f54e8db90
meteorology instruments,bfcb66cb-43ba-42f6-964a-dbc0c48e10da
exposed solar panels,50dd5411-ce95-472f-afd0-e197fa4d7d10
legionella control,02e3a4b0-21ed-4bc0-b45c-4a712b768996
heat shrink tubing,ae746a6d-a45a-4c3b-8c2c-2c38ee7588fe
fixation materials,6cf489fd-1d8a-44ce-b742-f377bcca6be1
reusable cable ties,d12abe80-111a-4232-a119-ff2ca224df35
wind turbine magnets,2b319661-35e5-48f8-965b-8c1fdd88e2da
vehicle export,ebf4edf8-747f-4e21-bbf5-9d82433c17a4
toyota export africa,1bb81c4c-62b1-4446-ab3f-b345626d4921
toyota spare parts,dfe3ca38-7e8a-4fb3-b68b-f2e726b4fb6f
toyota vehicle conversion,668bd4cd-35c3-43b9-a98f-e8d66e12630b
it networks - management and backup,ae58722a-44cb-4cba-97d1-0105e6600ed1
network management services,9f5779f7-e767-41e9-8961-f220611032f5
services for network management systems,9e52aa48-c17d-43eb-8fb1-505deb772abf
inflatable profiles,e08c9c48-ee8b-4bbd-87fe-79d95b841ee8
renovation profiles,d3b8b932-9875-4c9f-a70c-8eabc750c503
silicon profiles,34135951-7027-424f-b008-96790fae3d54
scissor rollerblinds,fc4bdd66-7005-4e4f-bd10-a71957741118
sealing section,e1e3b292-01ce-460a-ae6f-5b4b0cc68759
window & door profiles,c758319b-e6e6-4f18-88b5-e6458d2457c0
tanks for liquid petroleum products,57b99856-fd22-4701-91b6-a1f53ae39548
sale of petroleum products,e255b199-6b16-4ad5-9c43-81f5a2fa651d
storage systems for liquid petroleum products,56eb5722-b4b7-4ff2-aec3-4da86571c451
lawn seed,1795f0a0-13e5-4334-8753-ec399a83bab9
lawn fertilizer,854d8134-354c-47ac-b2b5-2ab6dd2abb75
sowing grass,3472718e-4ed4-4441-bf0c-022608e94e17
garden lime,b7fa56e3-9f19-4676-adbd-fad7913cda3e
industrial carbon,2d2c5303-7188-480f-af35-8c9557be84d4
short flame coal,33d6577d-2034-45e1-a638-ccf6918d90fe
uranium,03fd53da-1197-4838-9102-41b12eaf1c9a
common steels ( basic ),f78b00f2-f952-4760-9a7d-fcaef49e8be8
supplies for systems and electronic machinery for welding metals,a25f8f71-8d5f-444f-80df-8b06a71e594a
wholesale car components,64af9cc6-df54-4676-bd6a-3250cf22645a
square silos,2269c181-8aa6-40ab-aaf2-3c1914eb0e2d
process storage,307897d6-71b7-446e-86ee-a86d3c66c65e
rectangular silos,8046f0ca-9c65-4d30-bffe-d420f56846c4
efficient storage,e186aba2-4302-4e01-b42f-e6cabc331c75
modular silos,8de1d42a-650f-470f-af2b-3609b5234eec
animal feeds silos,bab0214e-1a7b-414e-93e6-e21e4a91b9e1
flour silos,e07ad4c0-8c91-484a-9814-94725266065d
oil tanker assistance,c59d6a2c-c3c9-47d6-8735-8a44b5595089
stainless steel kitchen equipment,5519af38-43bd-45b9-9491-950bfd1dd3e6
kitchen aircleaner systems,30add329-4346-425f-a78c-c25c767fc730
gas teppanyaki grill,57ed98b8-8941-4b09-8901-951430f768e3
gas wok burner,f357a453-12ad-4f31-ab3c-6e65110fd693
salamander pita oven,836afe42-d4a4-4f24-8392-346a2812b3ff
stainless steel worktable flat packed,3f77823a-762e-4ae1-8a75-15794a8f26b1
stainless steel worktable with sliding doors,34c5c6a9-4f9a-4cee-b76e-8cfea4ec22a4
heated cupboard,1b1832c4-bb5b-4eba-80c6-16bf21e6bb74
fan in box,7e0855e8-d448-4140-b250-d9dcbc9da18c
used food machinery,5fe527c0-0cc5-418d-b144-d55624936cb9
home decoration accessories,126c7a15-62b8-4e86-bb02-8c3ecbfbb791
decorations gifts,33235eef-bc3d-48a3-9eab-b99fe2872a13
gemstones,8e86fc19-4792-43bb-b602-4774f9b4e349
incense burners,efa50f25-282e-4724-a082-6acfa0c67a37
semi-precious stones,8ed1611d-ec36-4119-bbd2-bf6d68a2f469
spiritual wholesale,8ab3f2f3-0788-4564-956d-a2edfc6b618e
cooling solutions,8c71bb18-6dc7-4e23-b12f-c7d0b3cf2f7f
thermal pallet covers,74402a89-221e-4d14-a6e7-9bf73340a211
thermal transport,3db8fed7-7448-4770-93c2-74336bc9df7d
thermal covers,2727c62f-8eb8-4061-b9a9-e7c4e92d2bd6
cooler bags,04628707-8795-4eeb-8ad9-e74e63470537
spray on coatings,197c1500-e59f-40a8-91bf-15a7350fe0ac
polyurea,2d395cc6-f9f3-4a95-942c-3ba25724803c
line-x,02634c03-99d7-440a-8ee2-0eb034f3fe47
magnesium profile extrusion,4b5f9488-7586-4438-a2ed-3ffb3c89641b
custom aluminium profiles,65c51a70-42fc-4095-b9f3-f9dd2a8b609a
machining aluminium profiles,a4d54be7-af51-4e06-a382-ebaffa57add9
stainless steel coils,617da68a-380e-4d80-9ef6-3e5eb8811f8f
stainless steel plates,4c9751ea-92f4-4003-a9dc-9d9d5da7636f
edge beads,e379c57b-e591-469d-8b6d-65bf5daa87f2
metal products and small parts,5a1d7c7c-425e-4990-b0f0-ed478afd4096
aluminium sheet bending,5ecbaff6-065d-4add-91e8-b0f4a81f2bd6
cold pressing of metals,861ad5e0-c146-4ddf-b0ac-2273bfa42a45
gold electroplating,1dcb14e0-8956-4279-bd40-7e252cc26b38
metal spinning,9ecb8f64-ef17-4290-8fa5-4bb5c49af3f6
oem metal and plastic components as per drawings or samples,b9f12c4b-b59f-436e-89f1-f0b1db10b7b5
stuccoes for metal,5eaaab2f-3b7f-4623-95bf-47762ad030a6
rotary electrical machines,b4c96467-5df2-478a-8bfa-b46a55a98645
construction material hoppers,3366887f-03db-405d-9d01-8b2b6b5355b1
metal shearing work,da4589e5-6099-4ab4-a819-59a4007eb987
supplies for metalworking machine tools,27010923-59d2-4ec5-8689-d2e2007b3afc
turning to design,d21f522b-e953-4923-a3f7-8aa35332d0f0
solder,1ae0264a-b7f7-441b-8532-b19f399caa9a
supplyies for machine tools for sheet metal working,4cd7b45e-ad28-4859-81d9-bf1c0bd211fa
aerating,f22e1e8c-ffac-434e-b3bd-c43c811c4cd6
engine fitting,1fe2ed56-b0ca-4310-83ef-cd8e71593b3e
static and dynamic balancing of industrial plant and machinery,eed371e3-e189-4bc4-ae72-cd8cc2738956
metal formwork for concrete,5fc892c6-5893-44aa-9fbd-17085a7cf78f
eu tender opportunities,68f449ea-834f-44a1-ac76-090ce3913999
rust prevention treatment,87f205b0-438e-4251-bd61-031ae1e4bd76
internal corrosion-resistant reservoir coatings,2afe765e-84d5-4dfb-8540-4825010fab1f
light and heavy framework,73ba4d1a-282e-442c-aae9-fdda622cab3b
riding arena installation,a1876869-0c92-4de8-8acb-289fe2332e64
permanent magnets,c33f4a5b-a326-41ab-88bb-cea26bef5a9d
co2 laser machines,a75542c9-ccea-4384-861f-df7d9a555c4a
laser engraving on fabrics,a7a0d38b-120c-4cee-b159-45dad7f65be1
laser engraving for wood,e68038df-64e9-41f0-9997-85ff3e871fbc
aluminium scrap trading,18e7b642-acbe-4d2b-972f-d42b9642b731
rfid,d053fa99-ad22-40f9-b4db-b883ab19ed82
rfid reader,8c0fdaba-21b3-42b6-972f-ed039b57fe4a
rfid tags,da8cb8e9-6a09-4f8d-aed9-f28c5bdaa04d
textile dyes,7863c2aa-e364-4e81-8dfc-429ad8e5db98
dyes for the textile and clothing industry,5dd6234a-910e-497e-ae59-85b9ff8ffafc
functional dyes,9dda0e2f-4ec6-4810-bb73-0b477b258ecb
dyes for leather goods,779edfb4-78ab-45a3-bc74-49b40905caab
dyes for metal,318d5df7-6941-4f75-b4b7-9fcf627d4a1d
pressurized products,9320bccf-e332-4e28-a1af-5b98ef5dae39
structural steels,3c27cbb8-e423-46af-ae37-af8ad93022b8
screw covers,44d82f89-4542-44af-b744-e4414556b7c5
plastic fasteners,b2d08554-b534-4933-949e-bd2732cada37
baskets for urban decoration,b4728671-a8f2-4d31-88d6-1a024fb09b70
design and manufacture,2698b507-2ece-4424-8fc3-d202315813f0
retail chain outlet fitting,5db26424-de33-4d9d-80ed-9841ebcbb5a0
cleaning machinery accessories,a321542c-7599-4ba4-8fd1-b39224522790
washing of metal parts,68be5951-4b08-4c84-915d-d63d352cd36e
automatic car washes,1ade1409-ae13-4f7d-80a9-40a961a89573
aluminium netting,e9663924-dd84-4cdd-9a27-034914266421
zinc-coated grilles,334482c7-7f50-4a29-9089-b1585bc9c7b2
forged iron articles,d3eb19d0-5d0e-4447-97ad-5452a708e291
metal coining,fa6a3ede-1c98-4c7e-b9aa-46c118a23b4f
fire-resistant mobile partitions,0165b38d-741a-4e0f-b7b9-7aadf05077e4
metal gates,67e710f3-65e2-4e54-9e6e-b14d6b5ff7ae
floor waxes,ee39b90b-2172-4887-8065-1caf30e47b45
metallized waxes,bfc75e5c-0708-45f2-b425-93ca943ae6d3
