products_id,products_and_services
2cd070a4fc87c09ef79b3e49b4d9a67885b59aba,printing
967eb416a75debbdbcc9caba7f2d5ce6ccfde724,silk-screen printing
759fb1073c271c3f92fdfccd481c97a20f7dfd30,reprographics
fc0ce6662758e8e6e516b7cd395a83378dbaae2c,cocoa and chocolate
4e9338c999c7ea14ab9cb9e0d0212c76169f24bb,plain chocolate
ff65ea9f38c8b24d006b2c87797fe0bf5b3427c8,bending - steels and metals
f398d80cd9945c8137f3a75e947277fced951c40,non-alcoholic drinks
c8b7587eeca90f238d9e12a7a8d2b284ee4ec901,steels and metals - welding and brazing
15ea1aa6b5579a4524c4e1b6fc255993ba43336c,welding work - steels and metal
bd43b15e4d244625ec2dc63cd803f1e68520c1fb,"metal construction, lightweight"
b7cba9eb83f387251b4848fad8134721c0527274,boilerwork
a533e93632494c68772b7126cc79bec1f738107a,thermal insulation materials
f0da8bbc7c6d0dc555e4f639fac275c6c7678ddd,heating and air conditioning - works
0cc4b9e822557f2b2db7ed368463311dcbf12a1a,packaging recycling
a69f8cd0f12d0e57621e67ed07b2211637c6f29a,polishing - steels and metals
3b6981a547bb93868537c6617943ee3bd11cac4c,"lifts and platform elevators, car"
ef82e63fe0efa67b4ef0c02eac5335ecb919e2be,"cardboard, special and technical grades"
28dcb002f29b6b65bf4a5eb464c343435a654c64,packaging materials - paper and cardboard
48971283676f94e2738004372690db3cd362a955,"boxes, cardboard"
3278b0a167b1cc2d88bcc25f8d3e3227571fb84d,road transport - logistical services
ad02889db6657e3937b2978af420f9c262758d9a,international couriers and delivery services
d36a77aa6164fd79cd292ef0d24edfea94b6f518,warehouses and bonded warehouses
ed524f92f4c9ca81689a1ad9f35b05ab74313e03,warehouses - cold storage
323033e0d6312ff2ab9fa73d863da2353c971d44,motorcycle parts and accessories
caa50b890ac5511870846088759274864dd4af2f,wood - sawn and treated
2898f619f3dee9408423bd246b0edb5337826f5b,tobacco and smokers items
323c1266944c347927f7f8e3719039d33176770d,hookahs
cf914aa7a0739404346fb15d684263cb71479efb,shellfish and crustaceans
64875fcccaac069fcb3e0e201e7d5b9166641608,fish
d2f5f756193404dd0a2487078a7d8ddbcb96daf6,dried fruits
1c160ab4cd2e831f4a45b1abf20439088aa61f01,coffee and tea
75490f32c06a50051804339453d3fe2f0cd5564b,tea
a7527c0bbcfff320859b612dd95e1809bb6322c0,"condiments, extracts and spices"
22fe7eb510e027f0e4712ede37cb8bc06a07feed,signs and signalling panels and boards
a0c406ef3b36250958b163b6938db5620d9fc122,"houseware, metal"
b315bbe2bef639c59793656e79dac2502991b56c,machine tools - metal machining
721a7aadcaaa2a1fce51ac76229b01e8cc1fea01,"wood, undressed"
20add46fd4fc5e57d9932a477efb009467c8a7b7,"clothes, women's"
1bcb656e194a10fd5ac1461b18ec894bfe112917,"oils and fats, edible"
30eef85dfdd3282c8738940920a705d71a465306,sugar
5d4420e2fb21eabeba5ec3d4b261e99f6e03a700,electric and electronic components - machines for manufacturing
4a81f17e7a69da622733f7d0fa52e739ef6a2f3c,signalling - systems and installations
f16a89af603818757c39de86c648021b0ecbda23,radar and radio navigation equipment
f9317350798c02d6040aa575955e3b5b2ad60cac,electricity - distribution equipment
13ca6eef8e9f0aecee76b7a05cdcd3f6bf91c863,"televisions, videos and radios"
ce6ebfc5202e57124ee4ba8af344bf2e850d46d9,hi-fi and stereo systems
1fb4f63ef9ec3eb65fb83226e06cf94557106b6d,public address and sound systems
91dcf8deddd30dc5b5b512e015fdb1d64c182853,"water treatment, industrial - systems and equipment"
b51cda7f74009178eacd6040ba5808df2b1410da,gardening and horticulture - equipment and supplies
bc5f25b2ec6a7938497bb8ceb978c86d423b76e8,feeds for animal farming
f16b09dbc75e683642115f2cb4d3432368510e9f,"foods, precooked and gourmet"
e4cf7381ee78201ae67320fbc11f731184e30541,potatoes - instant preparations and mixes
f879f36238840ab4de91a4821d24517e37729b4e,"bicycles, accessories and parts"
27ba199ad8c6776d1cb6af71a58b966a13906a21,bicycles
493a02b8690f1befab9d6308736fc9563e4c90a0,bicycle accessories
18d623812def6b82930a4e56b799a22d650a24d3,"clothes, men's"
9ad5321ce9aa34557ff8e9ff871b79db0ce49717,dairy products
acb528300eeaed4754de62290cd90abce083f815,frozen and deep-frozen foods
9d4d9a45b5ec3d4667ded5833cde68598ad76872,"paper, graphic arts"
fced1e1e1be122006a25443d3cf63e0673a56dd7,concrete products and conglomerates
0c6611639dbc4cabc5a31478deb10e40056e9cc5,"sewer pipes, concrete"
a49865e7fd1d477ce3fd539cc2248bbc543a0b5b,scenography equipment
4db41f7c75700f46da49406bc9ccb9a95e0a3a9b,performing arts - organisation
e4c18aa2d584464d205abe1cc412206aa817bb66,ceramics - tiling
7954d96ddff4a1494a96d661d74710d0bba87db7,optical lenses
d97110863d25f2652b7cc5f6fd85aaf16300c753,earthenware
1f7ffbde9e9793b576c01f6c7eb4aece3f90e526,"filters, liquid"
d110087d3d2772b7fe590028153f447c8ee71285,coffee filter papers
470bb42c81851fb068b04ba06bb7c47cb6e26576,electric coffee grinders
64ad2721ed42006a1511f8d7ae1a043de1cc7ef9,tea cups
b36744bd2d0dcf77f385e39ad6c766a9caebe9f9,water filters
6329c632a50b442df93c7a2a8ce8d71fdf0cb1c9,industrial equipment hire
62e4e4fc1628f7629ca969a367605fffecf72386,trailer rental
83dd28b2d46c4e7fb0e18b61f70f1577cce416dc,wc containers
9cebf1d82a57997c290ca545f3a82db5bb0d3c57,environment - services
eb61c543724475a55cd30d8aa32c6c5cefe079cb,recycling and recovery - miscellaneous materials
165ed625a76719217ee681a02063a0be9d31aa00,cleaning services
921143e073678d3286a68af204fb2f626340d8d3,bicycle components and parts
8e93958fb1835c27ba0484fe1703f9bfc0eecae5,automotive materials
599b3f75cb0d0e91987ea46b156fda9745d96816,construction materials
79cd7aa03e65b3e6c56d3f2df18cad92c9637584,big bags for mining equipment
dde4df4437c5903cf32f5fdacd931a2588513d84,customised big bags
5c2bbe75a201cca5f891aa368310f0bb590e80f9,polypropylene big bags
c44c32a61aff139cc4768821ff0edc9c43efc204,letter box
362933b6cc82fc371e64ba3d8b49cec9ad36ef31,forwarding crates
403d43a6d828aa6298c02444a86a6c2e62880bdc,fast delivery
30f0cd442b64942c43952f16ec1706f06bab825a,cars - electrical and electronic parts and components
f8ce7b98b9d2c878ed4f4f9605d1100249c8a2bf,"meats, cooked and cured"
e1f15f07886f40f6915903750750862a574b5495,"bread, cakes and pastries"
f17ded9743dd20cec3864922869854e21312a2a4,plants
8f1840856c289f28658452cbfb24d7e75eca75e8,office plants
99da21ce35998725ba97ad4d4f349ce76bab904c,vehicles - accessories and equipment
a7881657486d584a5863f2bbe8200cc4a1419fe4,"lubricants, industrial"
e40818ef2835c259af9a6fbe4b2da21f57190a08,taxi companies
eea5fc3f0788ee8a0b66b1c025f753fa587159c0,ceramics for floors and coatings
fd55a2c073a251dc9ebdcb9ba37d62335385c84b,small pictures
235b3087b5361e47fab8b5227a30735e9af782f4,paving tiles
a023df754e40efef6793159e3fc8846c05418864,tile setter
25640c4a3d2238e4992a7bcef998a928e0dd96b2,wall coverings
c117520e95b351c97f503b42b65abac6dd4d26ff,posters
f9adc27a27344e5680935ef03617f7d95d143f68,playbills - design
0a4b9c7f71d62ef1793cfa0854d3d1b1ed75a8ab,quality posters
a0a71ee032916f7a40c2656b9d01b199fe1e6698,air-freight services
dc2e78645a97c24e238382ec9cb4cb1274118ec5,sails and accessories
e5d10e939baf699cf615a761a16d1b88b2629923,domestic waste treatment
1fc651b199f0be0c9ee930723d18deb8c945df8b,"dustbins, waste bins"
5b059b8176d279a8e21a6b2c7262fb1a7ed60419,natural textile waste
1619eed9750128ae467dafd85542d27f03309202,processing and recycling of waste
6b89a4e906d77e655e2fef394c7c56213688f0ae,building debris - recycling
5657c4db2b1e7ca1da15e5291c669fde9d7b9962,construction - finishings
556282ea9c77565b877b1e59ddce8a24570bf2b5,textile finishing
413af762762799f2fc8d305fc177c231931e167d,textile printing
74d1090d857221ea50c21eab1907fd12bc4224da,musical instruments and accessories
99ccdc7493091d0b3b0eee299d1c02d749f7b475,pianos and keyboard instruments
d3470d6b0ac073046fcd8168bbf96cc0229b370f,wind instruments
af8cc0abe614e8828e363d90761b7f3334102fdc,shearing - steels and metals
5a8f2d9144133bd60aac76a1bd9310ca43d4fff4,drinks
308fb6c6247a22be47f5ddce0ab543f386790eaf,special transport
f21cee5e948ec98c54ccb04a0068ec7573b5239f,transport services
a6225bdce418ed1404113cb4c444a36c5de09059,wines - galicia
ba921ab89d7edc53e4e16217f7b2aaa96c55975a,"camping and caravans - vehicles, parts and accessories"
9c4caad410f69142937be9586b3f2eea687de932,vehicles - mechanical components and parts
9db5a1d75958448494ceccffd39847eae74e88f4,"cars, used"
ece77a36eb74e84b5292d5073621d60cbd743a80,gas - production and distribution
987cb9b41307a9b782abecc83c4ffb1ca1051864,petroleum fuels and additives
108b4a8c757f803975203b0f96bbae80f4dfddbe,"gases, compressed and liquefied"
5ac9a3715da521bed0588a19e2fb6cf86a7b915b,rubber products
756bee18f24564147bda335990f1889b0957ab63,filtering equipment and supplies
c6ba7a0f94c11723c197186a2bb5a68079d2bb5a,water retreatment - equipment and installations
a49bd7188a62f7c1b7aed85d23822e916080b1a1,storage equipment and systems
be4e7aef076fb0449be614213d3e6562c318fdde,"furniture, household"
7b331ee09dd3b667d1258242b5b1ee71cc329292,tables and chairs
c7315bfadb301030545e2e46f06480b39d2b1429,vehicles - telematics
c345ec0e08b949740286f740fa6b5e96050345bf,measurement and regulation equipment and instruments - pressure
bd600a45c4a0baec579dfa3fd28f5dc8ab0929e2,measurement and regulation equipment and instruments - output and flow
409239bd7db68076e60b2e28a12a432ac9b05f59,monitoring and control equipment
21924b62505c4fd84b920e8be057c7752a7c960b,testing equipment
8cf9703e53ade1eabb43437b43de7797b4d26b82,electrical components and parts
08f07a070f0be48430e8e46691846a4bad0209a6,electrical systems and equipment
f9b7f0215cec101d6e6e83e75c4fedda0a6e0ac5,waste treatment and recycling - machines and installations
a4dafe3b08ebdd173f5e8f177fbc22cd20213b01,environmental clean-up - machines and equipment
b5699fa7ec14f7ec74030afcf8f767d2d0752be1,"vegetables, edible roots and tubers"
88b48525a8b60a766b74e3c9b8fff96ba023d862,textile plants
