company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
azienda girotto;agriculture_livestock;fruits_and_vegetables_import_export;;manufacturer/ producer;via stortola n°35 | 35020 tribano - italy;tribano - italy;35020.0;italy;fruits and vegetables - import-export;the company azienda girotto, is a manufacturer/ producer, which operates in the fruits and vegetables - import-export industry. it is based in tribano, italy.;11.0;50.0;;False;;https://www.aziendagirotto.com;;azienda-girotto_00000005463415-833613001
cuore verde srl;agriculture_livestock;fruits_and_vegetables_import_export;;;via costa nc | 72015 fasano (br) - italy;fasano (br) - italy;72015.0;italy;fruits and vegetables - import-export;the company cuore verde srl, founded in 2010, which operates in the fruits and vegetables - import-export industry. it is based in fasano (br), italy.;;;;False;2010.0;http://www.cuoreverde.it;;cuore-verde-srl_ita319307-00101
souss frutta;agriculture_livestock;fruits_and_vegetables_import_export;;wholesaler;via dei leri 2 , lammari | 55100 lucca - italy;lucca - italy;55100.0;italy;fruits and vegetables - import-export;the company souss frutta, is a wholesaler, which operates in the fruits and vegetables - import-export industry. it is based in lucca, italy.;;;;False;;https://www.soussfrutta.com;;souss-frutta_00000005479388-001
il mago della frutta s.r.l.;agriculture_livestock;fruits_and_vegetables_import_export;;wholesaler;viale bernini 6/c | 81030 castel volturno - italy;castel volturno - italy;81030.0;italy;fruits and vegetables - import-export;the company il mago della frutta s.r.l., is a wholesaler, which operates in the fruits and vegetables - import-export industry. it is based in castel volturno, italy.;1.0;10.0;;False;;https://www.ilmagodellafrutta.com;;il-mago-della-frutta-srl_00000005425129-763030001
societa' agricola gasperi possidonio & c ss;agriculture_livestock;fruits_and_vegetables_import_export;;manufacturer/ producer;via g. matteotti 141/a | 41039 san possidonio - italy;san possidonio - italy;41039.0;italy;fruits and vegetables - import-export | fruit & vegetables;the company societa' agricola gasperi possidonio & c ss, is a manufacturer/ producer, which operates in the fruits and vegetables - import-export industry. it also operates in the fruit & vegetables industries. it is based in san possidonio, italy.;1.0;10.0;;False;;;;societa-agricola-gasperi-possidonio-c-ss_00000003582069-73372001
carden & leon corportion arl;agriculture_livestock;fruits_and_vegetables_import_export;;wholesaler;s.pr. 141, km 20,100 | 71030 zapponeta - italy;zapponeta - italy;71030.0;italy;fruits and vegetables - import-export | vegetables;the company carden & leon corportion arl, is a wholesaler, which operates in the fruits and vegetables - import-export industry. it also operates in the vegetables industries. it is based in zapponeta, italy.;11.0;50.0;;False;;;;carden-leon-corportion-arl_00000003978431-247768001
oswald rizzi;agriculture_livestock;fruits_and_vegetables_import_export;;agent/ representative;via karl wolf 115 | 39012 meran - italy;meran - italy;39012.0;italy;fruits and vegetables - import-export | fresh fruits and vegetables | fruit jellies;the company oswald rizzi, is a agent/ representative, which operates in the fruits and vegetables - import-export industry. it also operates in the fresh fruits and vegetables, and fruit jellies industries. it is based in meran, italy.;1.0;10.0;;False;;;;oswald-rizzi_00000003838489-217390001
ortofrutticola milanese s.r.l.;agriculture_livestock;fruits_and_vegetables_import_export;;wholesaler;via cesare lombroso 54 | ortomercato | 20137 milano - italy;milano - italy;20137.0;italy;fruits and vegetables - import-export;the company ortofrutticola milanese s.r.l., is a wholesaler, which operates in the fruits and vegetables - import-export industry. it is based in milano, italy.;1.0;10.0;;False;;http://www.ortofrutticolamilanese.it;;ortofrutticola-milanese-srl_00000005356741-654476001
azienda agricola gentili;agriculture_livestock;fruits_and_vegetables_import_export;;manufacturer/ producer;strada 24 bis colle spina | 00030 labico - italy;labico - italy;30.0;italy;fruits and vegetables - import-export;the company azienda agricola gentili, is a manufacturer/ producer, founded in 1978, which operates in the fruits and vegetables - import-export industry. it is based in labico, italy.;11.0;50.0;registered office;False;1978.0;http://www.leghiottone.com;;azienda-agricola-gentili_00000003567907-68663001
orto napolitano;agriculture_livestock;fruits_and_vegetables_import_export;;manufacturer/ producer;via rossilki,26 | 80047 san giuseppe vesuviano - italy;san giuseppe vesuviano - italy;80047.0;italy;fruits and vegetables - import-export;the company orto napolitano, is a manufacturer/ producer, which operates in the fruits and vegetables - import-export industry. it is based in san giuseppe vesuviano, italy.;1.0;10.0;;False;;;;orto-napolitano_00000005311173-616733001
