company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
centro detersivi e prodotti per la casa di nadalon claudio & c. s.n.c.;paper_cardboard;paper_sanitary_and_domestic_articles;;;11 via rivazancana di sopra | 30022 ceggia - italy;ceggia - italy;30022.0;italy;cleaning and maintenance products, household | cleaning and maintenance products, industrial | paper - sanitary and domestic articles;the company centro detersivi e prodotti per la casa di nadalon claudio & c. s.n.c., founded in 1986, which operates in the cleaning and maintenance products, household industry. it also operates in the cleaning and maintenance products, industrial, and paper - sanitary and domestic articles industries. it is based in ceggia, italy.;1.0;10.0;registered office;False;1986.0;http://www.centrodetersivinadalon.it;;centro-detersivi-e-prodotti-per-la-casa-di-nadalon-claudio-c-snc_seac000642839-001
m.c.r. s.n.c.;paper_cardboard;paper_sanitary_and_domestic_articles;;manufacturer/ producer;1 via italo svevo | 06012 citta' di castello - italy;citta' di castello - italy;6012.0;italy;paper - sanitary and domestic articles | napkins, paper | tissues, paper;the company m.c.r. s.n.c., is a manufacturer/ producer, founded in 1994, which operates in the paper - sanitary and domestic articles industry. it also operates in the napkins, paper, and tissues, paper industries. it is based in citta' di castello, italy.;;;registered office;False;1994.0;http://www.mcritalia.it;;mcr-snc_seac002339711-001
casalino carta s.r.l.;paper_cardboard;paper_sanitary_and_domestic_articles;;manufacturer/ producer;via schierano | 15078 rocca grimalda - italy;rocca grimalda - italy;15078.0;italy;paper - sanitary and domestic articles | napkins, paper | tissues, paper;the company casalino carta s.r.l., is a manufacturer/ producer, founded in 2000, which operates in the paper - sanitary and domestic articles industry. it also operates in the napkins, paper, and tissues, paper industries. it is based in rocca grimalda, italy.;11.0;50.0;registered office;False;2000.0;http://www.casalinocarta.it;;casalino-carta-srl_seac002928182-001
service paper;paper_cardboard;paper_sanitary_and_domestic_articles;;wholesaler;5/a via benzi francesco | 22100 como - italy;como - italy;22100.0;italy;paper - sanitary and domestic articles | laundry and dry cleaning machinery and equipment | cleaning and maintenance products, industrial;the company service paper, is a wholesaler, founded in 1989, which operates in the paper - sanitary and domestic articles industry. it also operates in the laundry and dry cleaning machinery and equipment, and cleaning and maintenance products, industrial industries. it is based in como, italy.;11.0;50.0;registered office;False;1989.0;http://www.servicepaper.it;;service-paper_seac000538506-001
soffass s.p.a.;paper_cardboard;paper_sanitary_and_domestic_articles;;;9/c via lucia | 55016 porcari - italy;porcari - italy;55016.0;italy;paper - sanitary and domestic articles | napkins, paper | tissues, paper;the company soffass s.p.a., founded in 2001, which operates in the paper - sanitary and domestic articles industry. it also operates in the napkins, paper, and tissues, paper industries. it is based in porcari, italy.;501.0;inf;;False;2001.0;http://www.sofidel.it;;soffass-spa_seac002188409-001
export trade s.r.l.;paper_cardboard;paper_sanitary_and_domestic_articles;;wholesaler;1 via a. moro | 30025 fossalta di portogruaro - italy;fossalta di portogruaro - italy;30025.0;italy;paper - sanitary and domestic articles | napkins, paper | tissues, paper;the company export trade s.r.l., is a wholesaler, founded in 1999, which operates in the paper - sanitary and domestic articles industry. it also operates in the napkins, paper, and tissues, paper industries. it is based in fossalta di portogruaro, italy.;;;;False;1999.0;http://www.stockpoint.it;;export-trade-srl_seac002346950-001
nuova elleci s.r.l.;paper_cardboard;paper_sanitary_and_domestic_articles;;manufacturer/ producer;29 via xxv aprile | 51035 lamporecchio - italy;lamporecchio - italy;51035.0;italy;paper - sanitary and domestic articles | napkins, paper | tissues, paper;the company nuova elleci s.r.l., is a manufacturer/ producer, founded in 1976, which operates in the paper - sanitary and domestic articles industry. it also operates in the napkins, paper, and tissues, paper industries. it is based in lamporecchio, italy.;11.0;50.0;registered office;False;1976.0;http://www.nuovaelleci.eu;;nuova-elleci-srl_seac001319819-001
nuova laig s.r.l.;paper_cardboard;paper_sanitary_and_domestic_articles;;wholesaler;12 via zeminianella | 35010 massanzago - italy;massanzago - italy;35010.0;italy;cleaning and maintenance products, household | paper - sanitary and domestic articles | protective and work clothing;the company nuova laig s.r.l., is a wholesaler, founded in 1985, which operates in the cleaning and maintenance products, household industry. it also operates in the paper - sanitary and domestic articles, and protective and work clothing industries. it is based in massanzago, italy.;;;registered office;False;1985.0;;;nuova-laig-srl_seac000277538-001
laboratoires euromedis italie sarl;paper_cardboard;paper_sanitary_and_domestic_articles;;manufacturer/ producer;79 via pescarito | 10099 san mauro torinese - italy;san mauro torinese - italy;10099.0;italy;orthopaedics and physiotherapy - apparatus, instruments and equipment | medicine and surgery - items and supplies | paper - sanitary and domestic articles;the company laboratoires euromedis italie sarl, is a manufacturer/ producer, founded in 2007, which operates in the orthopaedics and physiotherapy - apparatus, instruments and equipment industry. it also operates in the medicine and surgery - items and supplies, and paper - sanitary and domestic articles industries. it is based in san mauro torinese, italy.;;;;False;2007.0;;;laboratoires-euromedis-italie-sarl_seac005836365-001
carta e carta - arborea s.r.l.;paper_cardboard;paper_sanitary_and_domestic_articles;;wholesaler;strada xiv est | 09092 arborea - italy;arborea - italy;9092.0;italy;paper - sanitary and domestic articles | greenhouses and glazing units | agricultural systems and equipment;the company carta e carta - arborea s.r.l., is a wholesaler, founded in 1991, which operates in the paper - sanitary and domestic articles industry. it also operates in the greenhouses and glazing units, and agricultural systems and equipment industries. it is based in arborea, italy.;11.0;50.0;registered office;False;1991.0;;;carta-e-carta-arborea-srl_seac000151842-001
